TCS,name,lat,lon,PHASE,PHASE_STATUS,PHASE_STATUS_TEXT
518,VICTORIA PARK AVE & YORK MILLS RD,43.76302000008761,-79.31753099482636,6,9.0,Begin Yellow Clearance
220,EGLINTON AVE E & FORMAN AVE,43.709190996691056,-79.38620099881526,4,10.0,End Yellow Clearance
220,EGLINTON AVE E & FORMAN AVE,43.709190996691056,-79.38620099881526,8,10.0,End Yellow Clearance
309,BATHURST ST & ROSELAWN AVE,43.705191001462,-79.42637199452435,4,10.0,End Yellow Clearance
309,BATHURST ST & ROSELAWN AVE,43.705191001462,-79.42637199452435,8,10.0,End Yellow Clearance
45,YONGE ST & SHAFTESBURY AVE,43.68197299991637,-79.39155499874003,2,8.0,Green Termination
45,YONGE ST & SHAFTESBURY AVE,43.68197299991637,-79.39155499874003,2,9.0,Begin Yellow Clearance
45,YONGE ST & SHAFTESBURY AVE,43.68197299991637,-79.39155499874003,2,9.0,Begin Yellow Clearance
45,YONGE ST & SHAFTESBURY AVE,43.68197299991637,-79.39155499874003,2,9.0,Begin Yellow Clearance
45,YONGE ST & SHAFTESBURY AVE,43.68197299991637,-79.39155499874003,4,2.0,Begin Green
45,YONGE ST & SHAFTESBURY AVE,43.68197299991637,-79.39155499874003,6,8.0,Green Termination
45,YONGE ST & SHAFTESBURY AVE,43.68197299991637,-79.39155499874003,6,9.0,Begin Yellow Clearance
45,YONGE ST & SHAFTESBURY AVE,43.68197299991637,-79.39155499874003,6,9.0,Begin Yellow Clearance
45,YONGE ST & SHAFTESBURY AVE,43.68197299991637,-79.39155499874003,6,9.0,Begin Yellow Clearance
45,YONGE ST & SHAFTESBURY AVE,43.68197299991637,-79.39155499874003,8,2.0,Begin Green
102,EGLINTON AVE W & MARLEE AVE,43.69803999942936,-79.43938999669547,2,2.0,Begin Green
102,EGLINTON AVE W & MARLEE AVE,43.69803999942936,-79.43938999669547,2,2.0,Begin Green
102,EGLINTON AVE W & MARLEE AVE,43.69803999942936,-79.43938999669547,5,2.0,Begin Green
102,EGLINTON AVE W & MARLEE AVE,43.69803999942936,-79.43938999669547,5,2.0,Begin Green
720,EGLINTON AVE W & CASTLE KNOCK RD,43.70393900276804,-79.41164499681327,8,10.0,End Yellow Clearance
937,RATHBURN RD & THE WEST MALL,43.65302699620697,-79.57255099444842,2,2.0,Begin Green
937,RATHBURN RD & THE WEST MALL,43.65302699620697,-79.57255099444842,2,2.0,Begin Green
937,RATHBURN RD & THE WEST MALL,43.65302699620697,-79.57255099444842,6,2.0,Begin Green
937,RATHBURN RD & THE WEST MALL,43.65302699620697,-79.57255099444842,6,2.0,Begin Green
749,SHEPPARD AVE E & PHARMACY AVE,43.77651399955815,-79.31776399661011,2,8.0,Green Termination
749,SHEPPARD AVE E & PHARMACY AVE,43.77651399955815,-79.31776399661011,2,9.0,Begin Yellow Clearance
749,SHEPPARD AVE E & PHARMACY AVE,43.77651399955815,-79.31776399661011,2,9.0,Begin Yellow Clearance
749,SHEPPARD AVE E & PHARMACY AVE,43.77651399955815,-79.31776399661011,6,8.0,Green Termination
749,SHEPPARD AVE E & PHARMACY AVE,43.77651399955815,-79.31776399661011,6,9.0,Begin Yellow Clearance
749,SHEPPARD AVE E & PHARMACY AVE,43.77651399955815,-79.31776399661011,6,9.0,Begin Yellow Clearance
751,SHEPPARD AVE E & BIRCHMOUNT RD,43.78105400259915,-79.29810599748798,7,10.0,End Yellow Clearance
677,BATHURST ST & ROCKFORD RD,43.78591700138069,-79.44605300104142,4,9.0,Begin Yellow Clearance
677,BATHURST ST & ROCKFORD RD,43.78591700138069,-79.44605300104142,8,9.0,Begin Yellow Clearance
678,STEELES AVE W & BATHURST ST,43.79240699855058,-79.44575499406803,5,2.0,Begin Green
423,BATHURST ST & LAWRENCE AVE W,43.719258001808456,-79.42981600281595,2,2.0,Begin Green
423,BATHURST ST & LAWRENCE AVE W,43.719258001808456,-79.42981600281595,2,2.0,Begin Green
423,BATHURST ST & LAWRENCE AVE W,43.719258001808456,-79.42981600281595,5,2.0,Begin Green
423,BATHURST ST & LAWRENCE AVE W,43.719258001808456,-79.42981600281595,5,2.0,Begin Green
928,KEELE ST & BROADOAKS DR,43.75744800160979,-79.48949399856333,5,2.0,Begin Green
972,JANE ST & STONG CRT,43.76191699690708,-79.51882199948815,2,2.0,Begin Green
612,DUFFERIN ST & CASTLEFIELD AVE,43.700755998586374,-79.45176700149207,2,10.0,End Yellow Clearance
612,DUFFERIN ST & CASTLEFIELD AVE,43.700755998586374,-79.45176700149207,6,10.0,End Yellow Clearance
804,MARLEE AVE & GLENCAIRN AVE,43.708998999165665,-79.44381000012318,4,2.0,Begin Green
804,MARLEE AVE & GLENCAIRN AVE,43.708998999165665,-79.44381000012318,4,2.0,Begin Green
804,MARLEE AVE & GLENCAIRN AVE,43.708998999165665,-79.44381000012318,8,2.0,Begin Green
804,MARLEE AVE & GLENCAIRN AVE,43.708998999165665,-79.44381000012318,8,2.0,Begin Green
97,EGLINTON AVE W & HEDDINGTON AVE,43.7034730044333,-79.413882998765,8,10.0,End Yellow Clearance
104,EGLINTON AVE W & NORTHCLIFFE BLVD,43.69625799836335,-79.4476850020085,4,10.0,End Yellow Clearance
104,EGLINTON AVE W & NORTHCLIFFE BLVD,43.69625799836335,-79.4476850020085,8,10.0,End Yellow Clearance
720,EGLINTON AVE W & CASTLE KNOCK RD,43.70393900276804,-79.41164499681327,8,10.0,End Yellow Clearance
923,EVANS AVE & EVANS CRT,43.60898900108626,-79.55641900149342,2,10.0,End Yellow Clearance
923,EVANS AVE & EVANS CRT,43.60898900108626,-79.55641900149342,6,10.0,End Yellow Clearance
674,BATHURST ST & HORSHAM AVE,43.768569997046036,-79.44170099698731,4,10.0,End Yellow Clearance
674,BATHURST ST & HORSHAM AVE,43.768569997046036,-79.44170099698731,4,10.0,End Yellow Clearance
674,BATHURST ST & HORSHAM AVE,43.768569997046036,-79.44170099698731,8,10.0,End Yellow Clearance
674,BATHURST ST & HORSHAM AVE,43.768569997046036,-79.44170099698731,8,10.0,End Yellow Clearance
956,KEELE ST & CANARCTIC DR,43.77521300036408,-79.49404800017915,2,8.0,Green Termination
956,KEELE ST & CANARCTIC DR,43.77521300036408,-79.49404800017915,2,9.0,Begin Yellow Clearance
956,KEELE ST & CANARCTIC DR,43.77521300036408,-79.49404800017915,2,9.0,Begin Yellow Clearance
956,KEELE ST & CANARCTIC DR,43.77521300036408,-79.49404800017915,2,9.0,Begin Yellow Clearance
956,KEELE ST & CANARCTIC DR,43.77521300036408,-79.49404800017915,2,9.0,Begin Yellow Clearance
956,KEELE ST & CANARCTIC DR,43.77521300036408,-79.49404800017915,6,8.0,Green Termination
956,KEELE ST & CANARCTIC DR,43.77521300036408,-79.49404800017915,6,9.0,Begin Yellow Clearance
956,KEELE ST & CANARCTIC DR,43.77521300036408,-79.49404800017915,6,9.0,Begin Yellow Clearance
956,KEELE ST & CANARCTIC DR,43.77521300036408,-79.49404800017915,6,9.0,Begin Yellow Clearance
956,KEELE ST & CANARCTIC DR,43.77521300036408,-79.49404800017915,6,9.0,Begin Yellow Clearance
533,SHEPPARD AVE W & JANE ST,43.73938899564581,-79.5132209984919,2,2.0,Begin Green
533,SHEPPARD AVE W & JANE ST,43.73938899564581,-79.5132209984919,2,2.0,Begin Green
533,SHEPPARD AVE W & JANE ST,43.73938899564581,-79.5132209984919,6,2.0,Begin Green
533,SHEPPARD AVE W & JANE ST,43.73938899564581,-79.5132209984919,6,2.0,Begin Green
533,SHEPPARD AVE W & JANE ST,43.73938899564581,-79.5132209984919,7,2.0,Begin Green
943,JANE ST & JOHN ST,43.70664499571384,-79.50483200236675,2,10.0,End Yellow Clearance
943,JANE ST & JOHN ST,43.70664499571384,-79.50483200236675,4,2.0,Begin Green
943,JANE ST & JOHN ST,43.70664499571384,-79.50483200236675,4,2.0,Begin Green
943,JANE ST & JOHN ST,43.70664499571384,-79.50483200236675,4,2.0,Begin Green
943,JANE ST & JOHN ST,43.70664499571384,-79.50483200236675,6,10.0,End Yellow Clearance
943,JANE ST & JOHN ST,43.70664499571384,-79.50483200236675,8,2.0,Begin Green
943,JANE ST & JOHN ST,43.70664499571384,-79.50483200236675,8,2.0,Begin Green
943,JANE ST & JOHN ST,43.70664499571384,-79.50483200236675,8,2.0,Begin Green
637,WESTON RD & BRADSTOCK RD,43.73898900351889,-79.53945400100096,4,2.0,Begin Green
637,WESTON RD & BRADSTOCK RD,43.73898900351889,-79.53945400100096,8,2.0,Begin Green
435,DIXON RD & KIPLING AVE,43.69424900448849,-79.55864900592441,5,8.0,Green Termination
435,DIXON RD & KIPLING AVE,43.69424900448849,-79.55864900592441,5,9.0,Begin Yellow Clearance
435,DIXON RD & KIPLING AVE,43.69424900448849,-79.55864900592441,5,9.0,Begin Yellow Clearance
320,BATHURST ST & WILSON AVE,43.73735400234856,-79.43400500463021,2,2.0,Begin Green
320,BATHURST ST & WILSON AVE,43.73735400234856,-79.43400500463021,2,2.0,Begin Green
320,BATHURST ST & WILSON AVE,43.73735400234856,-79.43400500463021,6,2.0,Begin Green
320,BATHURST ST & WILSON AVE,43.73735400234856,-79.43400500463021,6,2.0,Begin Green
671,BATHURST ST & YORK DOWNS DR,43.74724700033855,-79.43647600072879,4,10.0,End Yellow Clearance
671,BATHURST ST & YORK DOWNS DR,43.74724700033855,-79.43647600072879,8,10.0,End Yellow Clearance
339,BLOOR ST W & ISLINGTON AVE,43.64464800248367,-79.5234379984697,4,10.0,End Yellow Clearance
339,BLOOR ST W & ISLINGTON AVE,43.64464800248367,-79.5234379984697,8,10.0,End Yellow Clearance
340,BLOOR ST W & JACKSON AVE,43.64802799805505,-79.50835600235881,2,8.0,Green Termination
340,BLOOR ST W & JACKSON AVE,43.64802799805505,-79.50835600235881,2,9.0,Begin Yellow Clearance
340,BLOOR ST W & JACKSON AVE,43.64802799805505,-79.50835600235881,6,8.0,Green Termination
340,BLOOR ST W & JACKSON AVE,43.64802799805505,-79.50835600235881,6,9.0,Begin Yellow Clearance
