TCS,PHASE,LAST_UPDATED,PHASE_STATUS,PHASE_PED_STATUS,PHASE_HOLD,PHASE_CALL,PHASE_OMIT,PHASE_PED_CALL,PHASE_PED_OMIT,PHASE_STATUS_TEXT,PHASE_PED_STATUS_TEXT,PHASE_CALL_TEXT
137,6,2024-06-20T13:13:59Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
137,9,2024-06-20T13:13:59Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
442,1,2024-06-20T13:13:59Z,10,,,2,,,,End Yellow Clearance,,Dropped
26,5,2024-06-20T13:13:59Z,8,,,2,,,,Green Termination,,Dropped
26,5,2024-06-20T13:13:59Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
26,5,2024-06-20T13:13:59Z,9,,,1,,,,Begin Yellow Clearance,,Registered
273,1,2024-06-20T13:13:59Z,8,,,2,,,,Green Termination,,Dropped
273,1,2024-06-20T13:13:59Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
273,5,2024-06-20T13:13:59Z,8,,,2,,,,Green Termination,,Dropped
273,5,2024-06-20T13:13:59Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
933,4,2024-06-20T13:13:59Z,10,1,,1,,,,End Yellow Clearance,Begin Walk,Registered
933,8,2024-06-20T13:13:59Z,10,1,,1,,,,End Yellow Clearance,Begin Walk,Registered
243,4,2024-06-20T13:13:59Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
243,8,2024-06-20T13:13:59Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
764,4,2024-06-20T13:13:59Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
764,8,2024-06-20T13:13:59Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
683,4,2024-06-20T13:13:59Z,10,2,,1,,,,End Yellow Clearance,Begin Clearance,Registered
683,4,2024-06-20T13:13:59Z,10,2,,1,,,,End Yellow Clearance,Begin Clearance,Registered
683,8,2024-06-20T13:13:59Z,10,2,,1,,,,End Yellow Clearance,Begin Clearance,Registered
683,8,2024-06-20T13:13:59Z,10,2,,1,,,,End Yellow Clearance,Begin Clearance,Registered
684,4,2024-06-20T13:13:59Z,10,3,,1,,,,End Yellow Clearance,Begin Solid Dont Walk,Registered
684,8,2024-06-20T13:13:59Z,10,3,,1,,,,End Yellow Clearance,Begin Solid Dont Walk,Registered
517,2,2024-06-20T13:13:59Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
517,2,2024-06-20T13:13:59Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
624,2,2024-06-20T13:13:59Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
624,2,2024-06-20T13:13:59Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
624,6,2024-06-20T13:13:59Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
624,6,2024-06-20T13:13:59Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
401,2,2024-06-20T13:13:59Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
401,6,2024-06-20T13:13:59Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
401,8,2024-06-20T13:13:59Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
911,2,2024-06-20T13:13:59Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
911,6,2024-06-20T13:13:59Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
237,4,2024-06-20T13:13:59Z,2,2,,2,,,,Begin Green,Begin Clearance,Dropped
237,4,2024-06-20T13:13:59Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
432,2,2024-06-20T13:13:59Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
432,6,2024-06-20T13:13:59Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
633,4,2024-06-20T13:13:59Z,2,1,,1,,,,Begin Green,Begin Walk,Registered
422,4,2024-06-20T13:13:59Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
422,4,2024-06-20T13:13:59Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
422,4,2024-06-20T13:13:59Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
422,8,2024-06-20T13:13:59Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
422,8,2024-06-20T13:13:59Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
422,8,2024-06-20T13:13:59Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
940,4,2024-06-20T13:13:59Z,8,,,1,,,,Green Termination,,Registered
940,4,2024-06-20T13:13:59Z,9,,,1,,,,Begin Yellow Clearance,,Registered
940,8,2024-06-20T13:13:59Z,8,,,1,,,,Green Termination,,Registered
940,8,2024-06-20T13:13:59Z,9,,,1,,,,Begin Yellow Clearance,,Registered
746,5,2024-06-20T13:13:59Z,10,,,1,,,,End Yellow Clearance,,Registered
747,5,2024-06-20T13:13:59Z,10,,,1,,,,End Yellow Clearance,,Registered
580,4,2024-06-20T13:13:59Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
580,8,2024-06-20T13:13:59Z,2,2,,1,,,,Begin Green,Begin Clearance,Registered
957,1,2024-06-20T13:13:59Z,10,,,1,,,,End Yellow Clearance,,Registered
957,1,2024-06-20T13:13:59Z,10,,,2,,,,End Yellow Clearance,,Dropped
953,3,2024-06-20T13:13:59Z,2,,,2,,,,Begin Green,,Dropped
360,2,2024-06-20T13:13:59Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
360,6,2024-06-20T13:13:59Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
878,2,2024-06-20T13:13:59Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
878,2,2024-06-20T13:13:59Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
795,4,2024-06-20T13:13:59Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
795,4,2024-06-20T13:13:59Z,2,3,,2,,,,Begin Green,Begin Solid Dont Walk,Dropped
795,8,2024-06-20T13:13:59Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
795,8,2024-06-20T13:13:59Z,2,3,,2,,,,Begin Green,Begin Solid Dont Walk,Dropped
249,4,2024-06-20T13:13:59Z,8,1,,1,,,,Green Termination,Begin Walk,Registered
249,4,2024-06-20T13:13:59Z,9,1,,1,,,,Begin Yellow Clearance,Begin Walk,Registered
249,4,2024-06-20T13:13:59Z,9,3,,1,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Registered
249,8,2024-06-20T13:13:59Z,8,1,,1,,,,Green Termination,Begin Walk,Registered
249,8,2024-06-20T13:13:59Z,9,1,,1,,,,Begin Yellow Clearance,Begin Walk,Registered
249,8,2024-06-20T13:13:59Z,9,3,,1,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Registered
191,4,2024-06-20T13:13:59Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
191,8,2024-06-20T13:13:59Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
134,5,2024-06-20T13:13:59Z,10,,,2,,,,End Yellow Clearance,,Dropped
134,5,2024-06-20T13:13:59Z,10,,,1,,,,End Yellow Clearance,,Registered
486,2,2024-06-20T13:13:59Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
486,4,2024-06-20T13:13:59Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
486,6,2024-06-20T13:13:59Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
486,8,2024-06-20T13:13:59Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
463,4,2024-06-20T13:13:59Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
463,4,2024-06-20T13:13:59Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
463,8,2024-06-20T13:13:59Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
463,8,2024-06-20T13:13:59Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
938,4,2024-06-20T13:13:59Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
938,4,2024-06-20T13:13:59Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
938,4,2024-06-20T13:13:59Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
938,8,2024-06-20T13:13:59Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
938,8,2024-06-20T13:13:59Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
938,8,2024-06-20T13:13:59Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
830,2,2024-06-20T13:13:59Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
345,8,2024-06-20T13:41:25Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
345,8,2024-06-20T13:41:25Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
513,4,2024-06-20T13:41:25Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
513,4,2024-06-20T13:41:25Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
513,4,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
513,8,2024-06-20T13:41:25Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
513,8,2024-06-20T13:41:25Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
513,8,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
574,4,2024-06-20T13:41:25Z,9,2,,1,,,,Begin Yellow Clearance,Begin Clearance,Registered
574,8,2024-06-20T13:41:25Z,9,2,,1,,,,Begin Yellow Clearance,Begin Clearance,Registered
666,4,2024-06-20T13:41:25Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
666,8,2024-06-20T13:41:25Z,10,1,,1,,,,End Yellow Clearance,Begin Walk,Registered
488,4,2024-06-20T13:41:25Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
488,4,2024-06-20T13:41:25Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
488,4,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
488,8,2024-06-20T13:41:25Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
488,8,2024-06-20T13:41:25Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
488,8,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
829,2,2024-06-20T13:41:25Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
829,4,2024-06-20T13:41:25Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
829,6,2024-06-20T13:41:25Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
829,8,2024-06-20T13:41:25Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
591,2,2024-06-20T13:41:25Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
591,6,2024-06-20T13:41:25Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
81,4,2024-06-20T13:41:25Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
81,4,2024-06-20T13:41:25Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
81,4,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
81,8,2024-06-20T13:41:25Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
81,8,2024-06-20T13:41:25Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
81,8,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
108,4,2024-06-20T13:41:25Z,8,2,,2,,,,Green Termination,Begin Clearance,Dropped
108,4,2024-06-20T13:41:25Z,9,2,,2,,,,Begin Yellow Clearance,Begin Clearance,Dropped
108,4,2024-06-20T13:41:25Z,9,3,,2,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Dropped
108,10,2024-06-20T13:41:25Z,8,,,2,,,,Green Termination,,Dropped
108,10,2024-06-20T13:41:25Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
841,4,2024-06-20T13:41:25Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
841,8,2024-06-20T13:41:25Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
841,10,2024-06-20T13:41:25Z,2,2,,2,,,,Begin Green,Begin Clearance,Dropped
908,4,2024-06-20T13:41:25Z,10,2,,1,,,,End Yellow Clearance,Begin Clearance,Registered
908,8,2024-06-20T13:41:25Z,10,2,,1,,,,End Yellow Clearance,Begin Clearance,Registered
999,2,2024-06-20T13:41:25Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
999,6,2024-06-20T13:41:25Z,10,1,,3,,,,End Yellow Clearance,Begin Walk,Ped Registered
628,4,2024-06-20T13:41:25Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
628,8,2024-06-20T13:41:25Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
625,2,2024-06-20T13:41:25Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
625,6,2024-06-20T13:41:25Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
173,4,2024-06-20T13:41:25Z,8,3,,2,,,,Green Termination,Begin Solid Dont Walk,Dropped
173,4,2024-06-20T13:41:25Z,9,3,,2,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Dropped
173,4,2024-06-20T13:41:25Z,9,3,,2,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Dropped
173,8,2024-06-20T13:41:25Z,8,3,,2,,,,Green Termination,Begin Solid Dont Walk,Dropped
173,8,2024-06-20T13:41:25Z,9,3,,2,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Dropped
173,8,2024-06-20T13:41:25Z,9,3,,2,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Dropped
233,4,2024-06-20T13:41:25Z,10,1,,2,,,,End Yellow Clearance,Begin Walk,Dropped
233,8,2024-06-20T13:41:25Z,10,1,,2,,,,End Yellow Clearance,Begin Walk,Dropped
262,4,2024-06-20T13:41:25Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
262,4,2024-06-20T13:41:25Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
262,4,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
262,8,2024-06-20T13:41:25Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
262,8,2024-06-20T13:41:25Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
262,8,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
385,2,2024-06-20T13:41:25Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
385,4,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
385,6,2024-06-20T13:41:25Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
385,8,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
432,2,2024-06-20T13:41:25Z,8,3,,3,,,,Green Termination,Begin Solid Dont Walk,Ped Registered
432,2,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
432,2,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
432,2,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
432,6,2024-06-20T13:41:25Z,8,3,,3,,,,Green Termination,Begin Solid Dont Walk,Ped Registered
432,6,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
432,6,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
432,6,2024-06-20T13:41:25Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
532,7,2024-06-20T13:41:25Z,10,,,1,,,,End Yellow Clearance,,Registered
708,4,2024-06-20T13:41:25Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
708,8,2024-06-20T13:41:25Z,2,1,,2,,,,Begin Green,Begin Walk,Dropped
717,5,2024-06-20T13:41:25Z,2,,,1,,,,Begin Green,,Registered
780,3,2024-06-20T13:41:25Z,2,,,2,,,,Begin Green,,Dropped
468,4,2024-06-20T13:41:25Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
468,8,2024-06-20T13:41:25Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
105,4,2024-06-20T13:41:25Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
94,2,2024-06-20T13:41:25Z,9,2,,1,,,,Begin Yellow Clearance,Begin Clearance,Registered
94,6,2024-06-20T13:41:25Z,9,2,,1,,,,Begin Yellow Clearance,Begin Clearance,Registered
793,2,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
793,2,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
793,6,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
793,6,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
64,2,2024-06-20T13:45:45Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
64,6,2024-06-20T13:45:45Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
795,4,2024-06-20T13:45:45Z,10,3,,2,,,,End Yellow Clearance,Begin Solid Dont Walk,Dropped
795,8,2024-06-20T13:45:45Z,10,3,,2,,,,End Yellow Clearance,Begin Solid Dont Walk,Dropped
530,2,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
530,4,2024-06-20T13:45:45Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
530,6,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
530,8,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
727,2,2024-06-20T13:45:45Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
727,2,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
727,6,2024-06-20T13:45:45Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
727,6,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
277,4,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
277,8,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
630,1,2024-06-20T13:45:45Z,9,,,1,,,,Begin Yellow Clearance,,Registered
723,5,2024-06-20T13:45:45Z,10,,,1,,,,End Yellow Clearance,,Registered
770,2,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
770,6,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
791,3,2024-06-20T13:45:45Z,10,,,2,,,,End Yellow Clearance,,Dropped
378,4,2024-06-20T13:45:45Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
378,8,2024-06-20T13:45:45Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
59,7,2024-06-20T13:45:45Z,10,,,2,,,,End Yellow Clearance,,Dropped
715,1,2024-06-20T13:45:45Z,9,,,1,,,,Begin Yellow Clearance,,Registered
326,2,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
326,2,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
326,6,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
326,6,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
843,4,2024-06-20T13:45:45Z,8,1,,1,,,,Green Termination,Begin Walk,Registered
843,4,2024-06-20T13:45:45Z,9,1,,1,,,,Begin Yellow Clearance,Begin Walk,Registered
843,4,2024-06-20T13:45:45Z,9,3,,1,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Registered
843,8,2024-06-20T13:45:45Z,8,1,,1,,,,Green Termination,Begin Walk,Registered
843,8,2024-06-20T13:45:45Z,9,1,,1,,,,Begin Yellow Clearance,Begin Walk,Registered
843,8,2024-06-20T13:45:45Z,9,3,,1,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Registered
622,7,2024-06-20T13:45:45Z,8,,,2,,,,Green Termination,,Dropped
622,7,2024-06-20T13:45:45Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
23,4,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
23,8,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
391,2,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
391,6,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
529,1,2024-06-20T13:45:45Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
725,2,2024-06-20T13:45:45Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
725,6,2024-06-20T13:45:45Z,10,2,,3,,,,End Yellow Clearance,Begin Clearance,Ped Registered
694,7,2024-06-20T13:45:45Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
356,5,2024-06-20T13:45:45Z,9,,,2,,,,Begin Yellow Clearance,,Dropped
392,5,2024-06-20T13:45:45Z,2,,,2,,,,Begin Green,,Dropped
886,2,2024-06-20T13:45:45Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
886,6,2024-06-20T13:45:45Z,10,3,,3,,,,End Yellow Clearance,Begin Solid Dont Walk,Ped Registered
901,5,2024-06-20T13:45:45Z,2,,,1,,,,Begin Green,,Registered
248,4,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
248,8,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
175,2,2024-06-20T13:45:45Z,9,1,,1,,,,Begin Yellow Clearance,Begin Walk,Registered
175,6,2024-06-20T13:45:45Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
175,9,2024-06-20T13:45:45Z,2,1,,,,,,Begin Green,Begin Walk,
175,9,2024-06-20T13:45:45Z,2,1,,,,,,Begin Green,Begin Walk,
175,11,2024-06-20T13:45:45Z,2,1,,,,,,Begin Green,Begin Walk,
175,11,2024-06-20T13:45:45Z,2,1,,,,,,Begin Green,Begin Walk,
19,4,2024-06-20T13:45:45Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
19,8,2024-06-20T13:45:45Z,2,3,,3,,,,Begin Green,Begin Solid Dont Walk,Ped Registered
31,4,2024-06-20T13:45:45Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
31,4,2024-06-20T13:45:45Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
31,4,2024-06-20T13:45:45Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
31,8,2024-06-20T13:45:45Z,8,1,,3,,,,Green Termination,Begin Walk,Ped Registered
31,8,2024-06-20T13:45:45Z,9,1,,3,,,,Begin Yellow Clearance,Begin Walk,Ped Registered
31,8,2024-06-20T13:45:45Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
909,4,2024-06-20T13:45:45Z,2,3,,1,,,,Begin Green,Begin Solid Dont Walk,Registered
909,8,2024-06-20T13:45:45Z,2,3,,1,,,,Begin Green,Begin Solid Dont Walk,Registered
819,2,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
819,2,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
505,2,2024-06-20T13:45:45Z,8,3,,3,,,,Green Termination,Begin Solid Dont Walk,Ped Registered
505,2,2024-06-20T13:45:45Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
505,2,2024-06-20T13:45:45Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
505,2,2024-06-20T13:45:45Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
505,6,2024-06-20T13:45:45Z,8,3,,3,,,,Green Termination,Begin Solid Dont Walk,Ped Registered
505,6,2024-06-20T13:45:45Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
505,6,2024-06-20T13:45:45Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
505,6,2024-06-20T13:45:45Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
138,8,2024-06-20T13:45:45Z,10,2,,1,,,,End Yellow Clearance,Begin Clearance,Registered
478,5,2024-06-20T13:45:45Z,8,,,1,,,,Green Termination,,Registered
478,5,2024-06-20T13:45:45Z,9,,,1,,,,Begin Yellow Clearance,,Registered
852,2,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
852,6,2024-06-20T13:45:45Z,2,1,,3,,,,Begin Green,Begin Walk,Ped Registered
47,4,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
47,8,2024-06-20T13:45:45Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
48,4,2024-06-20T13:45:45Z,2,3,,2,,,,Begin Green,Begin Solid Dont Walk,Dropped
48,8,2024-06-20T13:45:45Z,2,3,,2,,,,Begin Green,Begin Solid Dont Walk,Dropped
281,4,2024-06-20T13:48:02Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
281,4,2024-06-20T13:48:02Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
281,8,2024-06-20T13:48:02Z,8,2,,3,,,,Green Termination,Begin Clearance,Ped Registered
281,8,2024-06-20T13:48:02Z,9,2,,3,,,,Begin Yellow Clearance,Begin Clearance,Ped Registered
281,8,2024-06-20T13:48:02Z,9,3,,3,,,,Begin Yellow Clearance,Begin Solid Dont Walk,Ped Registered
983,2,2024-06-20T13:48:02Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
983,6,2024-06-20T13:48:02Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
749,4,2024-06-20T13:48:02Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
749,8,2024-06-20T13:48:02Z,2,2,,3,,,,Begin Green,Begin Clearance,Ped Registered
